"datasourceid","outputfrequency","startofperiod","sensor_name","atmPressure24HourMean.raw","atmPressure24HourMean.value","bcAllSources24HourMean.raw","bcAllSources24HourMean.value","bcBiomass24HourMean.raw","bcBiomass24HourMean.value","bcFossilFuel24HourMean.raw","bcFossilFuel24HourMean.value","bcSpectralB24HourMean.raw","bcSpectralB24HourMean.value","bcSpectralG24HourMean.raw","bcSpectralG24HourMean.value","bcSpectralIR24HourMean.raw","bcSpectralIR24HourMean.value","bcSpectralR24HourMean.raw","bcSpectralR24HourMean.value","bcSpectralUV24HourMean.raw","bcSpectralUV24HourMean.value","no2Conc24HourMean.raw","no2Conc24HourMean.value","pm2_5ConcMass24HourMean.raw","pm2_5ConcMass24HourMean.value","pm2_5ConcMass24HourMeanUsEpaAqi.raw","pm2_5ConcMass24HourMeanUsEpaAqi.value","pm2_5ConcNum24HourMean.raw","pm2_5ConcNum24HourMean.value","relHumidAmbient24HourMean.raw","relHumidAmbient24HourMean.value","relHumidInternal24HourMean.raw","relHumidInternal24HourMean.value","temperatureAmbient24HourMean.raw","temperatureAmbient24HourMean.value","temperatureInternal24HourMean.raw","temperatureInternal24HourMean.value","windDirection24HourMean.raw","windDirection24HourMean.value","windSpeed24HourMean.raw","windSpeed24HourMean.value","latitude","longitude","location","record_id"
"DIQKT3554","day","10/21/2025 12:00:00 AM","Lincoln Park 1",,,,,,,,,,,,,,,,,,,"17.18","13.29","3.99","4.39","22","24","5.37","5.37",,,"62.31","62.31",,,"12.4","12.4",,,,,"41.92154965","-87.65448778151","POINT (-87.65448778150906 41.92154965)","DIQKT3554_2025-10-21"
"DLDVK7370","day","12/24/2025 12:00:00 AM","South Chicago 2",,,,,,,,,,,,,,,,,,,"17.62","14.54","41.22","17.64","115","67","32.98","32.98",,,"71.86","71.86",,,"5.08","5.08",,,,,"41.75137435","-87.55253841883","POINT (-87.55253841882741 41.75137435)","DLDVK7370_2025-12-24"
"DQIUL8061","day","11/13/2025 12:00:00 AM","South Shore 1",,,,,,,,,,,,,,,,,,,,,"9.39","7.48","51","41","8.88","8.88",,,"52.04","52.04",,,"8.33","8.33",,,,,"41.7641265","-87.5857492","POINT (-87.5857492 41.7641265)","DQIUL8061_2025-11-13"
"DEJMD2536","day","10/22/2025 12:00:00 AM","O'Hare 1",,,,,,,,,,,,,,,,,,,"11.55","9.68","0.36","3.38","2","18","1.89","1.89",,,"66.18","66.18",,,"9.38","9.38",,,,,"41.9762844","-87.8527641","POINT (-87.8527641 41.9762844)","DEJMD2536_2025-10-22"
"DFQDK6326","day","10/26/2025 12:00:00 AM","Beverly 1",,,,,,,,,,,,,,,,,,,"9.3","11.38",,,,,,,,,"60.96","60.96",,,"11.6","11.6",,,,,"41.7328393","-87.67465490629","POINT (-87.67465490628803 41.732839299999995)","DFQDK6326_2025-10-26"
"DIPDE7442","day","11/24/2025 12:00:00 AM","Schiller Park Collocation 3",,,,,,,,,,,,,,,,,,,"26.31","22.57","46.35","23.53","128","78","30.73","30.73",,,"66.24","66.24",,,"6.95","6.95",,,,,"41.965175","-87.876252","POINT (-87.876252 41.965175)","DIPDE7442_2025-11-24"
"DXRZC4102","day","09/29/2025 12:00:00 AM","New City 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.48","66.48",,,"23.66","23.66",,,,,"41.8149286","-87.66950393452","POINT (-87.66950393452069 41.8149286)","DXRZC4102_2025-09-29"
"DQZIL1804","day","10/05/2025 12:00:00 AM","Brighton Park 2",,,,,,,,,,,,,,,,,,,"10.01","13.37","13.75","10.93","60","54","21.81","21.81",,,"45.34","45.34",,,"25.38","25.38",,,,,"41.8150889","-87.68617463895","POINT (-87.68617463894653 41.8150889)","DQZIL1804_2025-10-05"
"DIIPF3878","day","11/14/2025 12:00:00 AM","Edgewater 2",,,,,,,,,,,,,,,,,,,,,"16.8","11.88","65","56","18.71","18.71",,,"49.13","49.13",,,"13.26","13.26",,,,,"41.9859255","-87.65593","POINT (-87.65593 41.9859255)","DIIPF3878_2025-11-14"
"DEJMD2536","day","11/09/2025 12:00:00 AM","O'Hare 1",,,,,,,,,,,,,,,,,,,,,"2.35","3.88","13","21","3.31","3.31",,,"75.9","75.9",,,"2.08","2.08",,,,,"41.9762844","-87.8527641","POINT (-87.8527641 41.9762844)","DEJMD2536_2025-11-09"
"DEYGE9157","day","10/07/2025 12:00:00 AM","South Deering 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77.59","77.59",,,"18.9","18.9",,,,,"41.7014031","-87.5703907","POINT (-87.5703907 41.7014031)","DEYGE9157_2025-10-07"
"DWKUZ0134","day","01/09/2026 12:00:00 AM","Schiller Park Collocation 1",,,,,,,,,,,,,,,,,,,,,"13","6.56","58","36","13.44","13.44",,,"78.53","78.53",,,"10.37","10.37",,,,,"41.965175","-87.876252","POINT (-87.876252 41.965175)","DWKUZ0134_2026-01-09"
"DAHAJ0678","day","01/20/2026 12:00:00 AM","Ashburn 1",,,,,,,,,,,,,,,,,,,,,"1.99","5.13","11","28","2.47","2.47",,,"62.21","62.21",,,"-12.12","-12.12",,,,,"41.7522794","-87.73751065","POINT (-87.73751065 41.7522794)","DAHAJ0678_2026-01-20"
"DEWGT8066","day","02/06/2026 12:00:00 AM","Portage Park 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76.24","76.24",,,"0.69","0.69",,,,,"41.94911115","-87.74480067538","POINT (-87.74480067538144 41.94911115)","DEWGT8066_2026-02-06"
"DYLLV9237","day","12/15/2025 12:00:00 AM","Portage Park 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.49","59.49",,,"-10.72","-10.72",,,,,"41.94900945","-87.76278188336","POINT (-87.76278188336448 41.94900945)","DYLLV9237_2025-12-15"
"DWGYM0810","day","12/21/2025 12:00:00 AM","Avalon Park 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49.4","49.4",,,"-0.81","-0.81",,,,,"41.7505205","-87.58579258994","POINT (-87.58579258993602 41.7505205)","DWGYM0810_2025-12-21"
"DWEWU1433","day","01/20/2026 12:00:00 AM","Austin 9",,,,,,,,,,,,,,,,,,,,,"5.32","5.35","29","29","3.52","3.52",,,"61.4","61.4",,,"-11.93","-11.93",,,,,"41.9037571","-87.76961617758","POINT (-87.76961617758381 41.9037571)","DWEWU1433_2026-01-20"
"DYUGS4351","day","01/07/2026 12:00:00 AM","East Garfield Park 2",,,,,,,,,,,,,,,,,,,"12.93","13.91","46.14","18.7","127","69","31.37","31.37",,,"81.29","81.29",,,"4.71","4.71",,,,,"41.87840975","-87.70263428384","POINT (-87.70263428383839 41.87840975)","DYUGS4351_2026-01-07"
"DVCHA9392","day","01/14/2026 12:00:00 AM","Gage Park 3",,,,,,,,,,,,,,,,,,,,,"4.36","4.21","24","23","4.1","4.1",,,"66.42","66.42",,,"1.93","1.93",,,,,"41.78987765","-87.68662485","POINT (-87.68662485 41.78987765)","DVCHA9392_2026-01-14"
"DFESS1920","day","10/15/2025 12:00:00 AM","Chicago Lawn 4",,,,,,,,,,,,,,,,,,,"19.27","11.4","7.32","4.22","41","23","7.56","7.56",,,"78.16","78.16",,,"15.55","15.55",,,,,"41.76416395","-87.7034622167","POINT (-87.70346221669887 41.76416395)","DFESS1920_2025-10-15"
"DFKYP0941","day","12/27/2025 12:00:00 AM","Lincoln Park 2",,,,,,,,,,,,,,,,,,,"14.89","15.82","44.52","14.15","123","60","24.1","24.1",,,"83.58","83.58",,,"4.07","4.07",,,,,"41.92145185","-87.63691042804","POINT (-87.63691042803572 41.92145185)","DFKYP0941_2025-12-27"
"DSZQR8376","day","01/26/2026 12:00:00 AM","Hegewisch 1",,,,,,,,,,,,,,,,,,,,,"20.1","11.3","71","55","9.62","9.62",,,"60.14","60.14",,,"-13.17","-13.17",,,,,"41.67519010855","-87.53588600368","POINT (-87.53588600367534 41.675190108549614)","DSZQR8376_2026-01-26"
"DFDFU1164","day","01/18/2026 12:00:00 AM","Lower West Side 1",,,,,,,,,,,,,,,,,,,,,"11.26","7.26","55","40","8.88","8.88",,,"66.97","66.97",,,"-9.01","-9.01",,,,,"41.8526565","-87.68640576809","POINT (-87.68640576809067 41.852656499999995)","DFDFU1164_2026-01-18"
"DIPDE7442","day","01/31/2026 12:00:00 AM","Schiller Park Collocation 3",,,,,,,,,,,,,,,,,,,,,"6.54","6.04","36","33","4.39","4.39",,,"71.25","71.25",,,"-7.66","-7.66",,,,,"41.965175","-87.876252","POINT (-87.876252 41.965175)","DIPDE7442_2026-01-31"
"DVPZF1960","day","10/27/2025 12:00:00 AM","Near West Side 4",,,,,,,,,,,,,,,,,,,"12.12","12.29","5.09","5.64","28","31","7.1","7.1",,,"62.16","62.16",,,"12.19","12.19",,,,,"41.86523824401","-87.63522699006","POINT (-87.6352269900566 41.86523824401148)","DVPZF1960_2025-10-27"
"DVNGV1890","day","10/21/2025 12:00:00 AM","Roseland 2",,,,,,,,,,,,,,,,,,,"14.77","10.9","2.12","5.53","12","31","4.97","4.97",,,"65.7","65.7",,,"11.99","11.99",,,,,"41.71389143635","-87.61998237196","POINT (-87.61998237196052 41.71389143635448)","DVNGV1890_2025-10-21"
"DBDBP2246","day","12/26/2025 12:00:00 AM","Greater Grand Crossing 4",,,,,,,,,,,,,,,,,,,"17.33","13.57","42.37","15.59","118","63","28.65","28.65",,,"76.35","76.35",,,"6.92","6.92",,,,,"41.7517264","-87.60303067276","POINT (-87.60303067276175 41.751726399999995)","DBDBP2246_2025-12-26"
"DXEMM9791","day","12/25/2025 12:00:00 AM","Chatham 2",,,,,,,,,,,,,,,,,,,"10.87","15.22","52.62","22.94","143","77","42.57","42.57",,,"74.58","74.58",,,"5.89","5.89",,,,,"41.7389797","-87.60272773313","POINT (-87.60272773313176 41.7389797)","DXEMM9791_2025-12-25"
"DVWMK9661","day","12/23/2025 12:00:00 AM","Humboldt Park 4",,,,,,,,,,,,,,,,,,,"18.94","20.34","20.8","12.59","73","57","20.04","20.04",,,"58.3","58.3",,,"7.85","7.85",,,,,"41.89083265","-87.71959863711","POINT (-87.71959863710754 41.89083265)","DVWMK9661_2025-12-23"
"DVPEA0040","day","11/01/2025 12:00:00 AM","Auburn Gresham 1",,,,,,,,,,,,,,,,,,,"13.41","14.45","18.48","11.15","68","55","18.6","18.6",,,"65.05","65.05",,,"8.51","8.51",,,,,"41.75224785","-87.66918975846","POINT (-87.66918975845675 41.75224785)","DVPEA0040_2025-11-01"
"DRILK5150","day","10/15/2025 12:00:00 AM","East Garfield Park 1",,,,,,,,,,,,,,,,,,,"13.63","10.81","5.67","4.27","31","23","8.54","8.54",,,"76.63","76.63",,,"15.28","15.28",,,,,"41.87824475","-87.71895694228","POINT (-87.71895694228435 41.87824475)","DRILK5150_2025-10-15"
"DPPCP3370","day","10/24/2025 12:00:00 AM","West Pullman 4",,,,,,,,,,,,,,,,,,,"15.11","13.79","7.48","5.93","41","33","7.34","7.34",,,"58.66","58.66",,,"8.51","8.51",,,,,"41.66388775","-87.62119153511","POINT (-87.6211915351054 41.66388775)","DPPCP3370_2025-10-24"
"DFKYP0941","day","10/20/2025 12:00:00 AM","Lincoln Park 2",,,,,,,,,,,,,,,,,,,"15.22","14.93","3.97","4.54","22","25","4.42","4.42",,,"55.43","55.43",,,"12.38","12.38",,,,,"41.92145185","-87.63691042804","POINT (-87.63691042803572 41.92145185)","DFKYP0941_2025-10-20"
"DGKDK3415","day","12/26/2025 12:00:00 AM","Irving Park 4",,,,,,,,,,,,,,,,,,,"16.05","11.92","40.97","17.18","114","66","29.54","29.54",,,"75.82","75.82",,,"6.82","6.82",,,,,"41.9415229","-87.73560494298","POINT (-87.73560494297779 41.941522899999995)","DGKDK3415_2025-12-26"
"DQABT4506","day","10/22/2025 12:00:00 AM","Riverdale 2",,,,,,,,,,,,,,,,,,,"12.8","10.76","1.67","3.12","9","17","2.23","2.23",,,"66.44","66.44",,,"9.25","9.25",,,,,"41.66370695","-87.60544860892","POINT (-87.6054486089225 41.66370695)","DQABT4506_2025-10-22"
"DUUZN2841","day","01/31/2026 12:00:00 AM","Logan Square 3",,,,,,,,,,,,,,,,,,,,,"2.5","5.03","14","28","3.39","3.39",,,"68.75","68.75",,,"-6.98","-6.98",,,,,"41.9218112","-87.69063657846","POINT (-87.6906365784621 41.9218112)","DUUZN2841_2026-01-31"
"DIPDE7442","day","01/18/2026 12:00:00 AM","Schiller Park Collocation 3",,,,,,,,,,,,,,,,,,,,,"9.75","8.42","52","47","7.87","7.87",,,"70","70",,,"-10.01","-10.01",,,,,"41.965175","-87.876252","POINT (-87.876252 41.965175)","DIPDE7442_2026-01-18"
"DLJWW1620","day","10/21/2025 12:00:00 AM","Englewood 2",,,,,,,,,,,,,,,,,,,"11.67","9.81","3.36","4.62","18","26","5.58","5.58",,,"64.2","64.2",,,"12","12",,,,,"41.78957595","-87.6348940749","POINT (-87.63489407489742 41.78957595)","DLJWW1620_2025-10-21"
"DFEAJ0038","day","12/24/2025 12:00:00 AM","Hegewisch 2",,,,,,,,,,,,,,,,,,,"17.49","14.83","41.96","19.22","117","70","30.75","30.75",,,"72.36","72.36",,,"4.92","4.92",,,,,"41.6642805","-87.5373633","POINT (-87.5373633 41.6642805)","DFEAJ0038_2025-12-24"
"DZKWB0839","day","01/31/2026 12:00:00 AM","East Side 2",,,,,,,,,,,,,,,,,,,,,"6.38","4.37","35","24","3.81","3.81",,,"71.66","71.66",,,"-6.77","-6.77",,,,,"41.71325825","-87.53592341667","POINT (-87.53592341666666 41.713258249999996)","DZKWB0839_2026-01-31"
"DNBKU3560","day","11/02/2025 12:00:00 AM","West Englewood 1",,,,,,,,,,,,,,,,,,,"16.08","12.56","19.96","10.78","71","54","20.02","20.02",,,"66.79","66.79",,,"8.96","8.96",,,,,"41.78978595","-87.66959778168","POINT (-87.6695977816758 41.78978595)","DNBKU3560_2025-11-02"
"DBCBA3610","day","10/17/2025 12:00:00 AM","Austin 5",,,,,,,,,,,,,,,,,,,"13.83","14.4","4.14","5.74","23","32","7.41","7.41",,,"51.79","51.79",,,"18.45","18.45",,,,,"41.8669061","-87.75356439011","POINT (-87.753564390105 41.8669061)","DBCBA3610_2025-10-17"
"DWTBK5575","day","12/24/2025 12:00:00 AM","Brighton Park 3",,,,,,,,,,,,,,,,,,,"22.98","24.88","35.87","20.38","102","72","32.26","32.26",,,"67.61","67.61",,,"5.89","5.89",,,,,"41.81505595","-87.70319663856","POINT (-87.70319663856344 41.81505595)","DWTBK5575_2025-12-24"
"DZTFU6199","day","11/02/2025 12:00:00 AM","Ashburn 7",,,,,,,,,,,,,,,,,,,"14.38","13.71","14.78","7.9","61","44","13.56","13.56",,,"65.39","65.39",,,"8.75","8.75",,,,,"41.73968055","-87.72068312695","POINT (-87.72068312694724 41.73968055)","DZTFU6199_2025-11-02"
"DGTDZ6242","day","11/13/2025 12:00:00 AM","Forest Glen 3",,,,,,,,,,,,,,,,,,,"18.34","18.31","4.85","6.2","27","34","6.79","6.79",,,"55.68","55.68",,,"7.2","7.2",,,,,"41.98958085","-87.74435264432","POINT (-87.74435264432117 41.98958085)","DGTDZ6242_2025-11-13"
"DDCVA2276","day","10/14/2025 12:00:00 AM","Forest Glen 2",,,,,,,,,,,,,,,,,,,"22.44","17.07","25.38","12.32","81","57","30.13","30.13",,,"73.34","73.34",,,"17.84","17.84",,,,,"42.00303345","-87.76224995","POINT (-87.76224995 42.003033450000004)","DDCVA2276_2025-10-14"
"DRJPX9457","day","12/29/2025 12:00:00 AM","South Deering 5",,,,,,,,,,,,,,,,,,,,,"10.23","5.12","53","28","6.86","6.86",,,"78.08","78.08",,,"-3.88","-3.88",,,,,"41.6767009","-87.55354965902","POINT (-87.55354965901725 41.6767009)","DRJPX9457_2025-12-29"
"DPPCP3370","day","10/17/2025 12:00:00 AM","West Pullman 4",,,,,,,,,,,,,,,,,,,"9.28","10.44","4.24","5.1","23","28","6.06","6.06",,,"53.08","53.08",,,"18.07","18.07",,,,,"41.66388775","-87.62119153511","POINT (-87.6211915351054 41.66388775)","DPPCP3370_2025-10-17"
"DHZTI7858","day","10/29/2025 12:00:00 AM","Pullman 1",,,,,,,,,,,,,,,,,,,"22.12","13.34","5.24","4.99","29","27","5.55","5.55",,,"58.8","58.8",,,"12.01","12.01",,,,,"41.71416735","-87.60386913021","POINT (-87.60386913020682 41.71416735)","DHZTI7858_2025-10-29"
"DAEXF8484","day","12/23/2025 12:00:00 AM","Mount Greenwood 1",,,,,,,,,,,,,,,,,,,"14.27","19.8","18.78","12.24","69","57","19.24","19.24",,,"62.7","62.7",,,"7.28","7.28",,,,,"41.70576455","-87.71086021154","POINT (-87.710860211544 41.70576455)","DAEXF8484_2025-12-23"
"DBJPV1452","day","01/29/2026 12:00:00 AM","Irving Park 2",,,,,,,,,,,,,,,,,,,,,"5.86","6.89","32","38","3.93","3.93",,,"55.07","55.07",,,"-10.15","-10.15",,,,,"41.94881145","-87.70812985315","POINT (-87.70812985315226 41.94881145)","DBJPV1452_2026-01-29"
"DJKZD4256","day","12/27/2025 12:00:00 AM","Morgan Park 3",,,,,,,,,,,,,,,,,,,"16.91","12.75","21.28","10.81","74","54","14.78","14.78",,,"82.43","82.43",,,"5.21","5.21",,,,,"41.67869235","-87.67466474951","POINT (-87.67466474951416 41.67869235)","DJKZD4256_2025-12-27"
"DBCBA3610","day","01/17/2026 12:00:00 AM","Austin 5",,,,,,,,,,,,,,,,,,,,,"3.54","5.63","19","31","3.34","3.34",,,"58.09","58.09",,,"-5.9","-5.9",,,,,"41.8669061","-87.75356439011","POINT (-87.753564390105 41.8669061)","DBCBA3610_2026-01-17"
"DFNHF0256","day","12/23/2025 12:00:00 AM","Mayfair Collocation 1",,,,,,,,,,,,,,,,,,,"17.99","18.92","17.19","10.92","66","54","16.35","16.35",,,"57.39","57.39",,,"8.15","8.15",,,,,"41.964742","-87.749434","POINT (-87.749434 41.964742)","DFNHF0256_2025-12-23"
"DRCSL7614","day","10/19/2025 12:00:00 AM","Jefferson Park 3",,,,,,,,,,,,,,,,,,,"12.2","9.99","12.58","7.64","57","42","15.55","15.55",,,"77.13","77.13",,,"14.28","14.28",,,,,"41.97629145","-87.7806628029","POINT (-87.78066280290317 41.97629145)","DRCSL7614_2025-10-19"
"DXIGM4223","day","11/10/2025 12:00:00 AM","Ashburn 6",,,,,,,,,,,,,,,,,,,,,"0.9","3.96","5","22","2.08","2.08",,,"67.43","67.43",,,"-0.99","-0.99",,,,,"41.73950785","-87.70388676765","POINT (-87.7038867676452 41.73950785)","DXIGM4223_2025-11-10"
"DTFVD6048","day","10/24/2025 12:00:00 AM","Riverdale 1",,,,,,,,,,,,,,,,,,,"14.14","12.74","7.54","6.09","42","33","7.53","7.53",,,"65.37","65.37",,,"6.8","6.8",,,,,"41.67589005","-87.60362888146","POINT (-87.60362888146102 41.67589005)","DTFVD6048_2025-10-24"
"DTQTJ0507","day","01/29/2026 12:00:00 AM","Douglas 1",,,,,,,,,,,,,,,,,,,,,"5.55","5.56","31","31","3.52","3.52",,,"55.71","55.71",,,"-10.29","-10.29",,,,,"41.8404121","-87.61910230081","POINT (-87.61910230081149 41.8404121)","DTQTJ0507_2026-01-29"
"DWMLU4849","day","12/25/2025 12:00:00 AM","Portage Park 4",,,,,,,,,,,,,,,,,,,"16.73","14.44","46.21","23.64","127","78","38.67","38.67",,,"75.5","75.5",,,"5.72","5.72",,,,,"41.94171985","-87.7524262436","POINT (-87.75242624360101 41.94171985)","DWMLU4849_2025-12-25"
"DHSIJ5379","day","11/10/2025 12:00:00 AM","Washington Heights 1",,,,,,,,,,,,,,,,,,,,,"0.98","3.82","5","21","2.19","2.19",,,"68.71","68.71",,,"-0.95","-0.95",,,,,"41.72668335","-87.6533731","POINT (-87.6533731 41.72668335)","DHSIJ5379_2025-11-10"
"DIZEF3591","day","12/28/2025 12:00:00 AM","West Pullman 3",,,,,,,,,,,,,,,,,,,"10.69","14.36","44.03","17.34","122","66","37.74","37.74",,,"90.38","90.38",,,"10.41","10.41",,,,,"41.67596525","-87.62018065","POINT (-87.62018065 41.67596525)","DIZEF3591_2025-12-28"
"DWFRI5691","day","11/12/2025 12:00:00 AM","Humboldt Park 1",,,,,,,,,,,,,,,,,,,"16.05","12.91","7.88","6.03","43","33","7.57","7.57",,,"55.93","55.93",,,"7.67","7.67",,,,,"41.9036584","-87.7359956871","POINT (-87.73599568710452 41.9036584)","DWFRI5691_2025-11-12"
"DUBCZ6179","day","12/26/2025 12:00:00 AM","Humboldt Park 5",,,,,,,,,,,,,,,,,,,"14.84","13.41","40.64","15.26","114","62","28.64","28.64",,,"75.92","75.92",,,"6.79","6.79",,,,,"41.8910837","-87.73674123708","POINT (-87.73674123708031 41.8910837)","DUBCZ6179_2025-12-26"
"DWMLU4849","day","10/18/2025 12:00:00 AM","Portage Park 4",,,,,,,,,,,,,,,,,,,"15.2","12.98","20.85","12.8","73","58","28.74","28.74",,,"66.58","66.58",,,"20.8","20.8",,,,,"41.94171985","-87.7524262436","POINT (-87.75242624360101 41.94171985)","DWMLU4849_2025-10-18"
"DXUQX7513","day","01/29/2026 12:00:00 AM","Ashburn 8",,,,,,,,,,,,,,,,,,,,,"8.05","6.52","44","36","5.57","5.57",,,"55.83","55.83",,,"-10.52","-10.52",,,,,"41.73966255","-87.73740646472","POINT (-87.73740646471919 41.73966255)","DXUQX7513_2026-01-29"
"DJHFB1439","day","10/22/2025 12:00:00 AM","South Deering 6",,,,,,,,,,,,,,,,,,,"10.81","9.05","3.18","3.88","17","21","3.31","3.31",,,"66.67","66.67",,,"9.43","9.43",,,,,"41.66730025","-87.56938199593","POINT (-87.56938199592918 41.66730025)","DJHFB1439_2025-10-22"
"DPMWW4120","day","11/30/2025 12:00:00 AM","Garfield Ridge 3",,,,,,,,,,,,,,,,,,,,,"22.53","8","76","44","13.41","13.41",,,"81.86","81.86",,,"-0.55","-0.55",,,,,"41.7872597","-87.78189702338","POINT (-87.78189702338281 41.7872597)","DPMWW4120_2025-11-30"
"DYHTK6723","day","01/31/2026 12:00:00 AM","Chatham 1",,,,,,,,,,,,,,,,,,,,,"3.44","5.15","19","28","3.68","3.68",,,"70.32","70.32",,,"-7.15","-7.15",,,,,"41.73916155","-87.6202683","POINT (-87.62026829999999 41.739161550000006)","DYHTK6723_2026-01-31"
"DKUAZ4434","day","01/01/2026 12:00:00 AM","West Ridge 1",,,,,,,,,,,,,,,,,,,,,"6","4.98","33","27","4","4",,,"65.82","65.82",,,"-7.2","-7.2",,,,,"42.01665715","-87.7077947","POINT (-87.7077947 42.01665715)","DKUAZ4434_2026-01-01"
"DUIZW8642","day","01/27/2026 12:00:00 AM","Norwood Park 5",,,,,,,,,,,,,,,,,,,,,"20.41","10.29","72","53","11.47","11.47",,,"60.49","60.49",,,"-10.58","-10.58",,,,,"41.9764404","-87.81663050627","POINT (-87.81663050626611 41.9764404)","DUIZW8642_2026-01-27"
"DFDVG9143","day","10/14/2025 12:00:00 AM","Pullman 3",,,,,,,,,,,,,,,,,,,"13.2","13.97","33.04","15.66","96","63","35.84","35.84",,,"74.28","74.28",,,"18.91","18.91",,,,,"41.70084025","-87.60406122014","POINT (-87.60406122014103 41.70084025)","DFDVG9143_2025-10-14"
"DJGDZ3688","day","10/20/2025 12:00:00 AM","Roseland 3",,,,,,,,,,,,,,,,,,,"10.59","10.5","2.2","4.51","12","25","3.76","3.76",,,"56.99","56.99",,,"11.51","11.51",,,,,"41.70133845","-87.61992013972","POINT (-87.61992013972267 41.70133845)","DJGDZ3688_2025-10-20"
"DYRMT9480","day","10/20/2025 12:00:00 AM","West Ridge 2",,,,,,,,,,,,,,,,,,,"10.57","12.43","3.27","4.54","18","25","4.91","4.91",,,"51.93","51.93",,,"12.54","12.54",,,,,"42.01638365","-87.68983284926","POINT (-87.68983284925712 42.01638365)","DYRMT9480_2025-10-20"
"DZIHS7092","day","10/21/2025 12:00:00 AM","Archer Heights 2",,,,,,,,,,,,,,,,,,,"13.41","11.7","4.21","4.25","23","23","5.51","5.51",,,"63.96","63.96",,,"11.98","11.98",,,,,"41.81532825168","-87.71997399657","POINT (-87.71997399657484 41.81532825167885)","DZIHS7092_2025-10-21"
"DPMWW4120","day","10/18/2025 12:00:00 AM","Garfield Ridge 3",,,,,,,,,,,,,,,,,,,"17.12","12.9","19.87","11.14","71","55","26.13","26.13",,,"66.7","66.7",,,"20.89","20.89",,,,,"41.7872597","-87.78189702338","POINT (-87.78189702338281 41.7872597)","DPMWW4120_2025-10-18"
"DEVFQ3796","day","01/26/2026 12:00:00 AM","Austin 3",,,,,,,,,,,,,,,,,,,,,"9.68","9.7","52","52","6.37","6.37",,,"58.48","58.48",,,"-12.74","-12.74",,,,,"41.8911473","-87.7527475601","POINT (-87.75274756009728 41.8911473)","DEVFQ3796_2026-01-26"
"DNBKU3560","day","12/26/2025 12:00:00 AM","West Englewood 1",,,,,,,,,,,,,,,,,,,"17.43","14.3","39.56","16.62","111","65","30.17","30.17",,,"76.48","76.48",,,"6.84","6.84",,,,,"41.78978595","-87.66959778168","POINT (-87.6695977816758 41.78978595)","DNBKU3560_2025-12-26"
"DBDSX9338","day","01/02/2026 12:00:00 AM","South Shore 2",,,,,,,,,,,,,,,,,,,,,"8.44","8.39","47","46","6.28","6.28",,,"62.02","62.02",,,"-4.77","-4.77",,,,,"41.76396055","-87.56920031234","POINT (-87.56920031233949 41.76396055)","DBDSX9338_2026-01-02"
"DEPLW3142","day","10/31/2025 12:00:00 AM","Greater Grand Crossing 3",,,,,,,,,,,,,,,,,,,"19.88","16.45","19.28","12.31","70","57","17.19","17.19",,,"60.04","60.04",,,"9.82","9.82",,,,,"41.7640476","-87.6024382544","POINT (-87.60243825440212 41.7640476)","DEPLW3142_2025-10-31"
"DIVZD0266","day","02/05/2026 12:00:00 AM","Archer Heights 1",,,,,,,,,,,,,,,,,,,,,"49.99","23.48","136","78","32.31","32.31",,,"70.99","70.99",,,"-4.5","-4.5",,,,,"41.81559185","-87.736277095","POINT (-87.73627709500252 41.815591850000004)","DIVZD0266_2026-02-05"
"DXWXZ1902","day","01/26/2026 12:00:00 AM","South Deering 1",,,,,,,,,,,,,,,,,,,,,"15.79","9.77","63","52","7.9","7.9",,,"59.91","59.91",,,"-12.98","-12.98",,,,,"41.71372895","-87.56962240594","POINT (-87.56962240593828 41.71372895)","DXWXZ1902_2026-01-26"
"DGZUS1041","day","10/26/2025 12:00:00 AM","East Side 1",,,,,,,,,,,,,,,,,,,"10.32","13.78","17.12","10.6","66","54","17.82","17.82",,,"57.1","57.1",,,"12.77","12.77",,,,,"41.726048","-87.53635402287","POINT (-87.53635402286871 41.726048000000006)","DGZUS1041_2025-10-26"
"DSHWY2305","day","10/17/2025 12:00:00 AM","Irving Park 3",,,,,,,,,,,,,,,,,,,"15.31","18.93","5.21","5.75","29","32","7.27","7.27",,,"52.41","52.41",,,"18.67","18.67",,,,,"41.9490356","-87.72654561437","POINT (-87.72654561437082 41.9490356)","DSHWY2305_2025-10-17"
"DIIPF3878","day","10/27/2025 12:00:00 AM","Edgewater 2",,,,,,,,,,,,,,,,,,,"13.77","9.26","5.28","4.76","29","26","6.19","6.19",,,"64.12","64.12",,,"12.54","12.54",,,,,"41.9859255","-87.65593","POINT (-87.65593 41.9859255)","DIIPF3878_2025-10-27"
"DXWXZ1902","day","12/01/2025 12:00:00 AM","South Deering 1",,,,,,,,,,,,,,,,,,,,,"34.64","13.98","99","60","18.59","18.59",,,"78.79","78.79",,,"-3.79","-3.79",,,,,"41.71372895","-87.56962240594","POINT (-87.56962240593828 41.71372895)","DXWXZ1902_2025-12-01"
