"datasourceid","outputfrequency","startofperiod","sensor_name","atmPressure24HourMean.raw","atmPressure24HourMean.value","bcAllSources24HourMean.raw","bcAllSources24HourMean.value","bcBiomass24HourMean.raw","bcBiomass24HourMean.value","bcFossilFuel24HourMean.raw","bcFossilFuel24HourMean.value","bcSpectralB24HourMean.raw","bcSpectralB24HourMean.value","bcSpectralG24HourMean.raw","bcSpectralG24HourMean.value","bcSpectralIR24HourMean.raw","bcSpectralIR24HourMean.value","bcSpectralR24HourMean.raw","bcSpectralR24HourMean.value","bcSpectralUV24HourMean.raw","bcSpectralUV24HourMean.value","no2Conc24HourMean.raw","no2Conc24HourMean.value","pm2_5ConcMass24HourMean.raw","pm2_5ConcMass24HourMean.value","pm2_5ConcMass24HourMeanUsEpaAqi.raw","pm2_5ConcMass24HourMeanUsEpaAqi.value","pm2_5ConcNum24HourMean.raw","pm2_5ConcNum24HourMean.value","relHumidAmbient24HourMean.raw","relHumidAmbient24HourMean.value","relHumidInternal24HourMean.raw","relHumidInternal24HourMean.value","temperatureAmbient24HourMean.raw","temperatureAmbient24HourMean.value","temperatureInternal24HourMean.raw","temperatureInternal24HourMean.value","windDirection24HourMean.raw","windDirection24HourMean.value","windSpeed24HourMean.raw","windSpeed24HourMean.value","latitude","longitude","location","record_id"
"DAETQ5676","day","01/12/2026 12:00:00 AM","Montclare 2",,,,,,,,,,,,,,,,,,,,,"15.14","7.99","62","44","10.05","10.05",,,"66.53","66.53",,,"0.41","0.41",,,,,"41.92218035","-87.79864272546","POINT (-87.7986427254597 41.922180350000005)","DAETQ5676_2026-01-12"
"DAHAJ0678","day","01/24/2026 12:00:00 AM","Ashburn 1",,,,,,,,,,,,,,,,,,,,,"11.86","12.02","56","56","10.53","10.53",,,"49.11","49.11",,,"-18.48","-18.48",,,,,"41.7522794","-87.73751065","POINT (-87.73751065 41.7522794)","DAHAJ0678_2026-01-24"
"DRJGY6541","day","01/10/2026 12:00:00 AM","West Elsdon 1",,,,,,,,,,,,,,,,,,,"15.38","14.11","20.94","10.94","73","54","17.85","17.85",,,"75.57","75.57",,,"4.4","4.4",,,,,"41.7903099","-87.73683774404","POINT (-87.73683774404154 41.7903099)","DRJGY6541_2026-01-10"
"DRZTP3103","day","01/21/2026 12:00:00 AM","Austin 7",,,,,,,,,,,,,,,,,,,,,"17.24","9.36","66","51","10.64","10.64",,,"61.8","61.8",,,"-2.5","-2.5",,,,,"41.87855645","-87.77003805377","POINT (-87.77003805376656 41.878556450000005)","DRZTP3103_2026-01-21"
"DATLR2184","day","01/13/2026 12:00:00 AM","Brighton Park 1",,,,,,,,,,,,,,,,,,,"19.38","17.66","15.98","10.54","64","54","12.92","12.92",,,"67.58","67.58",,,"5.41","5.41",,,,,"41.82784155","-87.70286514737","POINT (-87.70286514736534 41.82784155)","DATLR2184_2026-01-13"
"DLNMW9381","day","12/19/2025 12:00:00 AM","Washington Heights 5",,,,,,,,,,,,,,,,,,,,,"12.16","7.42","57","41","7.18","7.18",,,"62.77","62.77",,,"-6.57","-6.57",,,,,"41.7138256","-87.65385383114","POINT (-87.65385383114133 41.7138256)","DLNMW9381_2025-12-19"
"DDFTD2975","day","12/13/2025 12:00:00 AM","Washington HS Collocation 2",,,,,,,,,,,,,,,,,,,,,"27.53","14.01","85","60","17.46","17.46",,,"61.06","61.06",,,"-6.82","-6.82",,,,,"41.687495","-87.538083","POINT (-87.538083 41.687495)","DDFTD2975_2025-12-13"
"DZBKX0961","day","12/08/2025 12:00:00 AM","Kenwood 1",,,,,,,,,,,,,,,,,,,,,"2.47","5.03","13","28","2.92","2.92",,,"62.95","62.95",,,"-2.34","-2.34",,,,,"41.8130536","-87.60098186266","POINT (-87.60098186266059 41.8130536)","DZBKX0961_2025-12-08"
"DUXLQ7589","day","09/10/2025 12:00:00 AM","Albany Park 1",,,,,,,,,,,,,,,,,,,"16.74","16.39","12.8","10.06","58","53","20.02","20.02",,,"58.58","58.58",,,"21.61","21.61",,,,,"41.9752872","-87.72557704251","POINT (-87.72557704250946 41.9752872)","DUXLQ7589_2025-09-10"
"DFQDK6326","day","12/12/2025 12:00:00 AM","Beverly 1",,,,,,,,,,,,,,,,,,,,,"50.42","26.01","138","82","29.37","29.37",,,"69.24","69.24",,,"-2.41","-2.41",,,,,"41.7328393","-87.67465490629","POINT (-87.67465490628803 41.732839299999995)","DFQDK6326_2025-12-12"
"DYWHJ8696","day","12/08/2025 12:00:00 AM","Chicago Lawn 1",,,,,,,,,,,,,,,,,,,,,"12.69","7.05","58","39","8.14","8.14",,,"65.44","65.44",,,"-3.95","-3.95",,,,,"41.7773501","-87.7035278237","POINT (-87.7035278237011 41.7773501)","DYWHJ8696_2025-12-08"
"DATLR2184","day","09/12/2025 12:00:00 AM","Brighton Park 1",,,,,,,,,,,,,,,,,,,"16.07","15.85","16.32","11.23","64","55","22.44","22.44",,,"58.84","58.84",,,"23.93","23.93",,,,,"41.82784155","-87.70286514737","POINT (-87.70286514736534 41.82784155)","DATLR2184_2025-09-12"
"DMMAG3845","day","12/15/2025 12:00:00 AM","Riverdale 3",,,,,,,,,,,,,,,,,,,,,"4.31","6.03","24","33","3.19","3.19",,,"63.88","63.88",,,"-11.87","-11.87",,,,,"41.6505642","-87.6038782","POINT (-87.6038782 41.650564200000005)","DMMAG3845_2025-12-15"
"DVPZF1960","day","01/20/2026 12:00:00 AM","Near West Side 4",,,,,,,,,,,,,,,,,,,,,"7.07","7.8","39","43","5.15","5.15",,,"60.57","60.57",,,"-11.99","-11.99",,,,,"41.86523824401","-87.63522699006","POINT (-87.6352269900566 41.86523824401148)","DVPZF1960_2026-01-20"
"DQJVA6225","day","09/08/2025 12:00:00 AM","Jefferson Park 1",,,,,,,,,,,,,,,,,,,"13.63","12.19","9.5","7.24","52","40","11.04","11.04",,,"62.14","62.14",,,"15.31","15.31",,,,,"41.9889689","-87.76288502645","POINT (-87.76288502645104 41.9889689)","DQJVA6225_2025-09-08"
"DFEAJ0038","day","10/12/2025 12:00:00 AM","Hegewisch 2",,,,,,,,,,,,,,,,,,,"10.38","9.08","5.81","5.14","32","28","7.83","7.83",,,"68.56","68.56",,,"15.72","15.72",,,,,"41.6642805","-87.5373633","POINT (-87.5373633 41.6642805)","DFEAJ0038_2025-10-12"
"DFRSA4000","day","12/19/2025 12:00:00 AM","Near North Side 3",,,,,,,,,,,,,,,,,,,,,"8.67","6.86","48","38","5.44","5.44",,,"59.13","59.13",,,"-5.31","-5.31",,,,,"41.89544165","-87.61824483303","POINT (-87.61824483303101 41.895441649999995)","DFRSA4000_2025-12-19"
"DWTBM7891","day","12/20/2025 12:00:00 AM","Woodlawn 1",,,,,,,,,,,,,,,,,,,,,"5.7","6.19","32","34","6.33","6.33",,,"62.02","62.02",,,"0.35","0.35",,,,,"41.77673266667","-87.60245566667","POINT (-87.60245566666666 41.77673266666667)","DWTBM7891_2025-12-20"
"DIFPQ7419","day","12/19/2025 12:00:00 AM","Avondale 2",,,,,,,,,,,,,,,,,,,,,"6.61","5.76","37","32","5.39","5.39",,,"59.8","59.8",,,"-5.82","-5.82",,,,,"41.93555175","-87.69109155093","POINT (-87.6910915509286 41.93555175)","DIFPQ7419_2025-12-19"
